"County","riskLevel","vaccination Ratio","actualvaccine","Death"
"Albany County, New York",2,0.644,209471,368
"Allegany County, New York",3,0.362,17841,91
"Bronx County, New York",2,0.532,886472,6664
"Broome County, New York",3,0.552,111756,379
"Cattaraugus County, New York",3,0.468,38979,96
"Cayuga County, New York",3,0.511,41703,100
"Chautauqua County, New York",3,0.494,68788,153
"Chemung County, New York",3,0.5,45157,142
"Chenango County, New York",3,0.526,26582,85
"Clinton County, New York",3,0.63,53368,33
"Columbia County, New York",2,0.64,41410,107
"Cortland County, New York",3,0.512,26026,69
"Delaware County, New York",3,0.497,23730,40
"Dutchess County, New York",3,0.589,190998,480
"Erie County, New York",2,0.592,583475,1871
"Essex County, New York",2,0.627,24469,29
"Franklin County, New York",3,0.547,29230,15
"Fulton County, New York",3,0.461,26317,97
"Genesee County, New York",2,0.512,31608,126
"Greene County, New York",2,0.534,27696,82
"Hamilton County, New York",3,0.771,3688,3
"Herkimer County, New York",3,0.503,33039,115
"Jefferson County, New York",3,0.584,76150,70
"Kings County, New York",2,0.535,1573366,10680
"Lewis County, New York",3,0.441,12245,36
"Livingston County, New York",2,0.517,34654,63
"Madison County, New York",3,0.534,40315,96
"Monroe County, New York",2,0.621,487430,1148
"Montgomery County, New York",3,0.566,29980,133
"Nassau County, New York",3,0.669,1018258,3239
"New York County, New York",2,0.698,1308515,4588
"Niagara County, New York",2,0.568,127299,381
"Oneida County, New York",3,0.528,129962,532
"Onondaga County, New York",3,0.639,312691,701
"Ontario County, New York",3,0.597,68973,95
"Orange County, New York",3,0.546,233329,748
"Orleans County, New York",3,0.464,20177,83
"Oswego County, New York",3,0.51,63714,100
"Otsego County, New York",3,0.53,33594,50
"Putnam County, New York",2,0.623,66702,95
"Queens County, New York",2,0.678,1740734,10090
"Rensselaer County, New York",2,0.608,103534,154
"Richmond County, New York",3,0.567,304314,1898
"Rockland County, New York",2,0.532,191653,766
"St. Lawrence County, New York",3,0.521,59817,111
"Saratoga County, New York",2,0.688,168246,184
"Schenectady County, New York",2,0.617,102942,213
"Schoharie County, New York",3,0.491,16221,20
"Schuyler County, New York",3,0.547,10341,16
"Seneca County, New York",3,0.469,16970,58
"Steuben County, New York",3,0.502,51923,154
"Suffolk County, New York",3,0.627,1020645,3498
"Sullivan County, New York",3,0.5,41473,79
"Tioga County, New York",3,0.517,27041,65
"Tompkins County, New York",3,0.692,75994,59
"Ulster County, New York",3,0.616,119822,270
"Warren County, New York",3,0.677,45943,76
"Washington County, New York",3,0.566,37113,61
"Wayne County, New York",3,0.535,51203,76
"Westchester County, New York",2,0.664,712561,2325
"Wyoming County, New York",3,0.436,18612,54
"Yates County, New York",3,0.457,12182,26
"Appling County, Georgia",3,0.304,6597,84
"Atkinson County, Georgia",3,0.32,3308,25
"Bacon County, Georgia",5,0.264,3454,49
"Baker County, Georgia",3,0.401,1428,13
"Baldwin County, Georgia",3,0.389,19990,158
"Banks County, Georgia",3,0.26,5909,51
"Barrow County, Georgia",5,0.348,32897,166
"Bartow County, Georgia",5,0.324,40416,281
"Ben Hill County, Georgia",3,0.348,6690,87
"Berrien County, Georgia",3,0.286,6476,54
"Bibb County, Georgia",3,0.393,69672,523
"Bleckley County, Georgia",3,0.304,4673,58
"Brantley County, Georgia",3,0.218,5116,61
"Brooks County, Georgia",5,0.399,7162,56
"Bryan County, Georgia",3,0.421,18960,47
"Bulloch County, Georgia",3,0.292,27339,153
"Burke County, Georgia",5,0.414,10694,68
"Butts County, Georgia",3,0.284,8260,93
"Calhoun County, Georgia",3,0.426,3057,20
"Camden County, Georgia",3,0.337,20860,80
"Candler County, Georgia",3,0.366,4687,72
