"County","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Orleans County, New York",0.0492,0.0033,0.0056,0.0564,0,0.8637
"Ulster County, New York",0.1021,0.001,0.0186,0.0551,6e-04,0.7905
"Kings County, New York",0.1904,0.0014,0.1178,0.2997,4e-04,0.364
"Clinton County, New York",0.0291,0.0027,0.0141,0.0407,2e-04,0.8993
"Cattaraugus County, New York",0.021,0.0311,0.0079,0.0141,0,0.9058
"Greene County, New York",0.0591,0.0047,0.0105,0.0545,1e-04,0.8528
"Dutchess County, New York",0.1219,0.0015,0.0352,0.098,4e-04,0.7147
"Wyoming County, New York",0.0329,0.0047,0.0041,0.0395,0,0.8991
"Lewis County, New York",0.0173,0.0029,0.0053,0.007,9e-04,0.9585
"Saratoga County, New York",0.0321,0.0019,0.0291,0.0153,1e-04,0.9035
"Suffolk County, New York",0.1931,0.0016,0.0388,0.0726,2e-04,0.6757
"Montgomery County, New York",0.141,0.0015,0.0069,0.0189,0,0.8127
"Warren County, New York",0.0256,0.0027,0.0098,0.012,6e-04,0.9377
"Rensselaer County, New York",0.0493,7e-04,0.0268,0.0598,0,0.8321
"Monroe County, New York",0.0877,0.0018,0.0359,0.1448,2e-04,0.7057
"Sullivan County, New York",0.1599,0.0023,0.0163,0.074,0,0.7151
"Cayuga County, New York",0.0295,0.0011,0.0056,0.041,1e-04,0.9009
"Oswego County, New York",0.0259,0.0013,0.0066,0.0096,1e-04,0.9404
"Albany County, New York",0.0597,9e-04,0.0656,0.115,4e-04,0.7217
"Westchester County, New York",0.2467,0.0016,0.0592,0.1343,2e-04,0.5348
"Oneida County, New York",0.0577,0.0021,0.0403,0.0568,3e-04,0.8201
"Hamilton County, New York",0.0166,0.0011,7e-04,0.008,4e-04,0.9595
"St. Lawrence County, New York",0.0236,0.0075,0.0099,0.0223,6e-04,0.9197
"Chenango County, New York",0.0219,0.003,0.0043,0.0088,0,0.9474
"Queens County, New York",0.2804,0.0023,0.2534,0.1721,4e-04,0.2505
"Allegany County, New York",0.0163,0.0023,0.0117,0.0142,3e-04,0.944
"Delaware County, New York",0.0388,8e-04,0.0078,0.0153,0,0.9209
"Niagara County, New York",0.0302,0.0098,0.011,0.0689,2e-04,0.8544
"Cortland County, New York",0.027,0.0022,0.0076,0.019,0,0.9262
"Madison County, New York",0.0221,0.0047,0.009,0.0167,0.0011,0.9309
"Otsego County, New York",0.0369,8e-04,0.0132,0.0182,1e-04,0.9113
"Herkimer County, New York",0.0216,0.0021,0.0059,0.0103,2e-04,0.9451
"Franklin County, New York",0.0354,0.0715,0.0054,0.0562,0.0022,0.8162
"Tioga County, New York",0.0195,0.002,0.0077,0.0062,0,0.95
"Schuyler County, New York",0.0186,8e-04,0.007,0.0083,0,0.9496
"Rockland County, New York",0.1771,0.0011,0.0585,0.1131,0,0.6313
"Chautauqua County, New York",0.0748,0.0029,0.0056,0.0235,5e-04,0.8744
"Wayne County, New York",0.0441,0.0012,0.0078,0.0272,0.0012,0.8993
"Onondaga County, New York",0.0491,0.0049,0.0367,0.1084,2e-04,0.7685
"Schoharie County, New York",0.032,0.0015,0.0088,0.0135,2e-04,0.9317
"Bronx County, New York",0.5603,0.0023,0.0359,0.2923,3e-04,0.0914
"Essex County, New York",0.0301,0.0025,0.0027,0.029,2e-04,0.9196
"New York County, New York",0.2583,0.0012,0.1205,0.1247,3e-04,0.4691
"Fulton County, New York",0.031,0.0029,0.0078,0.0198,1e-04,0.9269
"Ontario County, New York",0.0474,0.0024,0.0137,0.0215,3e-04,0.8984
"Putnam County, New York",0.1497,9e-04,0.0204,0.0273,2e-04,0.7871
"Columbia County, New York",0.0477,6e-04,0.0174,0.0431,0,0.8635
"Tompkins County, New York",0.0516,0.0014,0.096,0.0348,6e-04,0.7712
"Chemung County, New York",0.0308,0.0028,0.0134,0.059,1e-04,0.8623
"Jefferson County, New York",0.0752,0.0037,0.0171,0.0572,0.0019,0.8164
"Yates County, New York",0.0222,8e-04,0.0065,0.0096,2e-04,0.9471
"Richmond County, New York",0.1844,0.001,0.0922,0.0936,3e-04,0.6101
"Livingston County, New York",0.0366,0.0019,0.013,0.0258,5e-04,0.9076
"Seneca County, New York",0.0349,0.0042,0.0083,0.0476,2e-04,0.8901
"Broome County, New York",0.0421,0.0015,0.0433,0.0515,2e-04,0.8338
"Genesee County, New York",0.033,0.0083,0.0079,0.0202,0,0.9052
"Schenectady County, New York",0.0706,0.0022,0.0443,0.0944,5e-04,0.726
"Erie County, New York",0.055,0.0045,0.0355,0.1301,3e-04,0.7549
"Orange County, New York",0.2049,0.0023,0.0267,0.0999,3e-04,0.6424
"Nassau County, New York",0.169,0.0012,0.096,0.1115,2e-04,0.5998
"Washington County, New York",0.0274,0.0031,0.006,0.0279,1e-04,0.9232
"Steuben County, New York",0.0165,0.0011,0.0153,0.0157,0,0.9357
"Jenkins County, Georgia",0.0817,0.0025,0.0111,0.3491,0,0.5467
"Johnson County, Georgia",0.0247,0,0.0022,0.3315,0,0.624
"Jasper County, Georgia",0.0392,6e-04,0.0029,0.2039,0,0.7421
"Jeff Davis County, Georgia",0.1212,0,0.0023,0.1641,0,0.7085
"Jones County, Georgia",0.0167,0.0017,0.0075,0.2456,0,0.7143
"Jefferson County, Georgia",0.0384,0.0015,0.0031,0.5311,0,0.4201
"Worth County, Georgia",0.022,0.0038,0.0079,0.2801,3e-04,0.673
"Wayne County, Georgia",0.0626,7e-04,0.0061,0.2024,0,0.7117
"Washington County, Georgia",0.0248,5e-04,0.0067,0.5263,0,0.4253
"Whitfield County, Georgia",0.3511,0.0025,0.0144,0.0376,0,0.5843
"White County, Georgia",0.0325,0.0043,0.0058,0.0146,0,0.923
"Wilcox County, Georgia",0.0466,0.0039,0,0.3548,0,0.5851
"Wheeler County, Georgia",0.0014,0,0,0.4339,0,0.5618
"Wilkes County, Georgia",0.0506,0,0.0039,0.4259,0,0.5093
"Webster County, Georgia",0.0874,0.0034,0,0.372,0,0.5184
"Wilkinson County, Georgia",0.0287,0.0012,0,0.3895,6e-04,0.567
"Douglas County, Georgia",0.0966,7e-04,0.0159,0.4593,2e-04,0.4052
"Bibb County, Georgia",0.0325,0.0016,0.0202,0.5429,5e-04,0.3832
"Chatham County, Georgia",0.064,0.0023,0.0255,0.3943,0.0011,0.485
"Clay County, Georgia",0.0037,0,0.0102,0.6239,0,0.3541
"Elbert County, Georgia",0.057,0,0.0043,0.296,0,0.6351
"Camden County, Georgia",0.0673,0.0052,0.0192,0.1864,0.0011,0.698
"Colquitt County, Georgia",0.1921,0.0044,0.0083,0.2316,1e-04,0.5588
"Bacon County, Georgia",0.0826,0,0.0017,0.1519,0.0023,0.7351
"Bulloch County, Georgia",0.0399,0.0033,0.0127,0.2776,0.0026,0.6348
"Clayton County, Georgia",0.1322,0.0016,0.0512,0.6833,6e-04,0.1007
"Floyd County, Georgia",0.1107,0.0015,0.0127,0.1387,0,0.7076
"Dawson County, Georgia",0.047,9e-04,0.0059,0.0105,0,0.921
"Decatur County, Georgia",0.0608,0.0011,0.0025,0.4205,0,0.5021
"Chattahoochee County, Georgia",0.1586,0.0028,0.0289,0.1988,0.0014,0.5758
"Chattooga County, Georgia",0.0515,0.0014,0.0017,0.103,0,0.8277
"Bleckley County, Georgia",0.0296,9e-04,0.0024,0.2733,0,0.6856
"Dougherty County, Georgia",0.0286,0.002,0.0096,0.6939,1e-04,0.2523
"Atkinson County, Georgia",0.2488,0.0098,0,0.1741,0,0.5652
"Barrow County, Georgia",0.109,0.0015,0.0366,0.117,1e-04,0.7134
"Effingham County, Georgia",0.0444,0.0018,0.0088,0.1316,5e-04,0.7828
