County,% bachelor degree,% High school degree,% Households with a broadband Internet,Persons per household
"Albany County, New York",41.8%,92.1%,83.5%,2.29
"Allegany County, New York",20.9%,90.8%,75.1%,2.33
"Bronx County, New York",20.1%,72.8%,75.7%,2.76
"Broome County, New York",28.4%,90.7%,81.8%,2.33
"Cattaraugus County, New York",19.1%,88.8%,71.7%,2.34
"Cayuga County, New York",22.6%,87.8%,79.7%,2.34
"Chautauqua County, New York",22.2%,88.8%,76.2%,2.31
"Chemung County, New York",23.3%,90.3%,80.4%,2.36
"Chenango County, New York",18.7%,88.1%,78.1%,2.28
"Clinton County, New York",22.9%,87.6%,79.8%,2.33
"Columbia County, New York",32.7%,90.3%,79.7%,2.32
"Cortland County, New York",28.0%,90.7%,73.8%,2.50
"Delaware County, New York",22.6%,88.9%,76.0%,2.25
"Dutchess County, New York",35.0%,91.1%,88.1%,2.54
"Erie County, New York",34.4%,91.8%,81.2%,2.29
"Essex County, New York",26.8%,91.5%,78.1%,2.19
"Franklin County, New York",19.1%,87.4%,73.9%,2.35
"Fulton County, New York",18.2%,87.3%,77.0%,2.33
"Genesee County, New York",22.3%,92.2%,80.6%,2.40
"Greene County, New York",22.1%,86.7%,73.5%,2.58
"Hamilton County, New York",16.8%,77.5%,75.2%,3.79
"Herkimer County, New York",21.5%,89.8%,79.9%,2.48
"Jefferson County, New York",22.2%,91.0%,83.8%,2.49
"Kings County, New York",37.5%,82.4%,80.0%,2.66
"Lewis County, New York",18.4%,90.1%,78.4%,2.56
"Livingston County, New York",26.5%,90.6%,83.7%,2.37
"Madison County, New York",26.2%,92.0%,81.7%,2.55
"Monroe County, New York",38.6%,90.4%,84.0%,2.37
"Montgomery County, New York",17.8%,86.8%,76.0%,2.45
"Nassau County, New York",46.0%,91.4%,89.8%,2.99
"New York County, New York",61.3%,87.3%,85.2%,2.07
"Niagara County, New York",24.6%,91.2%,79.7%,2.34
"Oneida County, New York",25.7%,88.5%,80.7%,2.43
"Onondaga County, New York",35.9%,91.0%,80.2%,2.39
"Ontario County, New York",36.3%,93.9%,84.8%,2.36
"Orange County, New York",30.3%,89.7%,80.1%,2.89
"Orleans County, New York",16.2%,87.7%,80.7%,2.28
"Oswego County, New York",19.0%,88.2%,84.5%,2.46
"Otsego County, New York",31.1%,91.7%,79.3%,2.32
"Putnam County, New York",39.6%,93.0%,91.8%,2.76
"Queens County, New York",32.2%,82.0%,83.5%,2.90
"Rensselaer County, New York",32.0%,91.9%,85.0%,2.36
"Richmond County, New York",33.9%,88.7%,81.7%,2.82
"Rockland County, New York",41.1%,88.2%,82.2%,3.17
"St. Lawrence County, New York",41.4%,94.0%,89.3%,2.38
"Saratoga County, New York",32.1%,90.7%,83.8%,2.77
"Schenectady County, New York",22.4%,89.7%,75.0%,2.38
"Schoharie County, New York",23.5%,90.4%,78.8%,2.42
"Schuyler County, New York",21.1%,84.8%,79.6%,2.31
"Seneca County, New York",23.8%,88.7%,80.0%,2.32
"Steuben County, New York",23.6%,90.5%,78.2%,2.37
"Suffolk County, New York",36.3%,90.6%,88.4%,2.97
"Sullivan County, New York",24.8%,86.7%,80.2%,2.53
"Tioga County, New York",26.0%,91.2%,83.3%,2.40
"Tompkins County, New York",53.5%,94.4%,85.3%,2.25
"Ulster County, New York",32.5%,90.7%,86.1%,2.41
"Warren County, New York",31.3%,91.9%,83.1%,2.26
"Washington County, New York",20.5%,87.9%,79.7%,2.43
"Wayne County, New York",22.6%,89.2%,80.7%,2.42
"Westchester County, New York",48.9%,88.1%,86.2%,2.70
"Wyoming County, New York",17.7%,89.9%,77.3%,2.37
"Yates County, New York",25.2%,86.4%,75.4%,2.66
"Appling County, Georgia",9.8%,74.9%,60.4%,2.69
"Atkinson County, Georgia",12.2%,67.2%,62.0%,2.85
"Bacon County, Georgia",10.5%,82.1%,66.4%,2.70
"Baker County, Georgia",12.9%,80.6%,50.6%,2.20
"Baldwin County, Georgia",23.3%,85.8%,74.8%,2.51
"Banks County, Georgia",13.4%,75.9%,66.0%,2.78
"Barrow County, Georgia",19.0%,84.5%,84.2%,2.99
"Bartow County, Georgia",18.6%,83.6%,79.8%,2.76
"Ben Hill County, Georgia",11.2%,83.5%,55.5%,2.59
"Berrien County, Georgia",11.4%,79.0%,62.9%,2.57
"Bibb County, Georgia",25.4%,86.0%,75.2%,2.53
"Bleckley County, Georgia",18.7%,88.6%,69.4%,2.71
"Brantley County, Georgia",8.9%,78.9%,66.1%,2.74
"Brooks County, Georgia",17.8%,85.1%,67.2%,2.44
"Bryan County, Georgia",33.1%,91.6%,87.2%,2.83
"Bulloch County, Georgia",27.0%,87.3%,77.4%,2.48
"Burke County, Georgia",13.2%,80.1%,72.3%,2.72
"Butts County, Georgia",12.2%,80.6%,69.5%,2.56
"Calhoun County, Georgia",9.1%,72.9%,63.2%,2.56
"Camden County, Georgia",23.9%,91.3%,84.3%,2.66
"Candler County, Georgia",13.0%,77.3%,63.4%,2.63
"Carroll County, Georgia",21.1%,84.6%,81.8%,2.71
"Catoosa County, Georgia",21.4%,87.5%,82.9%,2.67
"Charlton County, Georgia",8.8%,74.1%,65.2%,3.22
"Chatham County, Georgia",33.6%,89.9%,85.2%,2.55
"Chattahoochee County, Georgia",29.5%,94.3%,78.1%,2.79
"Chattooga County, Georgia",8.9%,73.8%,69.7%,2.49
"Cherokee County, Georgia",38.2%,92.1%,92.3%,2.79
"Clarke County, Georgia",44.0%,88.0%,82.4%,2.36
"Clay County, Georgia",12.5%,80.0%,66.6%,2.33
"Clayton County, Georgia",19.5%,84.8%,80.2%,2.95
"Clinch County, Georgia",10.0%,69.2%,46.9%,2.51
"Cobb County, Georgia",47.4%,92.1%,91.6%,2.64
