County,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Physically Inactive,Violent Crime Rate,Income Ratio,% Children in Single-Parent Households,% Unemployed,% Vaccinated,% Uninsured,% Children in Poverty,Life Expectancy,Median Household Income,State
"Albany County, New York",13.497058286,3.3093060336,4.0898136175,16.586175241,19.7,348.21844179,4.8531129843,31.097647644,3.6489164401,55,4.1684259328,16.0,79.946936949,69408,New York
"Allegany County, New York",17.505069165,4.4226989715,4.6721960597,22.315666353,27.8,195.02941427,4.1666122639,22.661410612,5.4575381925,49,5.7091775924,26.8,77.910085673,49411,New York
"Bronx County, New York",29.319008629,4.7618415688,4.4621298085,18.156678722,29.9,586.05761611,6.7604473664,50.193234802,5.3599184844,40,8.693358803,36.5,80.885557114,41470,New York
"Broome County, New York",16.958985718,4.0995572496,4.6950637256,22.057009779,22.7,314.95458616,5.0194821088,26.66845278,4.7409040794,53,5.208532358,24.9,78.621136574,52179,New York
"Cattaraugus County, New York",19.624915864,4.6602979307,4.8485698033,23.808276191,28.5,197.20040087,4.5398591757,25.43366151,5.0525321686,47,6.4883465771,21.5,77.575538472,50783,New York
"Cayuga County, New York",17.378352529,4.1681850353,4.5758325231,22.65664425,25.1,241.44125779,4.1190612479,24.657264677,4.286270583,56,4.7691604449,20.5,79.796522026,58055,New York
"Chautauqua County, New York",17.939538653,4.2163068317,4.6993804223,23.680143445,27.0,271.38336813,4.9295737497,26.96977822,4.7186067828,53,5.5118432496,24.4,77.995285757,50143,New York
"Chemung County, New York",17.59972435,4.2691235821,4.5941192417,23.58428113,29.6,192.94740036,4.4708446631,24.045300361,4.2148547931,52,4.1218555273,20.3,76.489427692,58400,New York
"Chenango County, New York",17.617715797,4.3143207905,4.7528690558,22.913565062,24.2,183.39412319,4.4825174825,21.354799514,4.4474637681,50,4.9291830039,20.1,77.374403391,51894,New York
"Clinton County, New York",17.337230637,4.18196197,4.6107609834,21.875742361,27.5,157.25500595,4.3141124817,22.373419907,4.3578866178,51,5.0481638557,16.8,79.426273361,59069,New York
