"County","State","metro"
"Appling County, Georgia","Georgia","no"
"Atkinson County, Georgia","Georgia","no"
"Bacon County, Georgia","Georgia","no"
"Baker County, Georgia","Georgia","yes"
"Baldwin County, Georgia","Georgia","no"
"Banks County, Georgia","Georgia","no"
"Barrow County, Georgia","Georgia","yes"
"Bartow County, Georgia","Georgia","yes"
"Ben Hill County, Georgia","Georgia","no"
"Berrien County, Georgia","Georgia","no"
"Bibb County, Georgia","Georgia","yes"
"Bleckley County, Georgia","Georgia","no"
"Brantley County, Georgia","Georgia","yes"
"Brooks County, Georgia","Georgia","yes"
"Bryan County, Georgia","Georgia","yes"
"Bulloch County, Georgia","Georgia","no"
"Burke County, Georgia","Georgia","yes"
"Butts County, Georgia","Georgia","yes"
"Calhoun County, Georgia","Georgia","no"
"Camden County, Georgia","Georgia","no"
"Candler County, Georgia","Georgia","no"
"Carroll County, Georgia","Georgia","yes"
"Catoosa County, Georgia","Georgia","yes"
"Charlton County, Georgia","Georgia","no"
"Chatham County, Georgia","Georgia","yes"
"Chattahoochee County, Georgia","Georgia","yes"
"Chattooga County, Georgia","Georgia","no"
"Cherokee County, Georgia","Georgia","yes"
"Clarke County, Georgia","Georgia","yes"
"Clay County, Georgia","Georgia","no"
"Clayton County, Georgia","Georgia","yes"
"Clinch County, Georgia","Georgia","no"
"Cobb County, Georgia","Georgia","yes"
"Coffee County, Georgia","Georgia","no"
"Colquitt County, Georgia","Georgia","no"
"Columbia County, Georgia","Georgia","yes"
"Cook County, Georgia","Georgia","no"
"Coweta County, Georgia","Georgia","yes"
"Crawford County, Georgia","Georgia","yes"
"Crisp County, Georgia","Georgia","no"
"Dade County, Georgia","Georgia","yes"
"Dawson County, Georgia","Georgia","yes"
"Decatur County, Georgia","Georgia","no"
"DeKalb County, Georgia","Georgia","yes"
"Dodge County, Georgia","Georgia","no"
"Dooly County, Georgia","Georgia","no"
"Dougherty County, Georgia","Georgia","yes"
"Douglas County, Georgia","Georgia","yes"
"Early County, Georgia","Georgia","no"
"Echols County, Georgia","Georgia","yes"
"Effingham County, Georgia","Georgia","yes"
"Elbert County, Georgia","Georgia","no"
"Emanuel County, Georgia","Georgia","no"
"Evans County, Georgia","Georgia","no"
"Fannin County, Georgia","Georgia","no"
"Fayette County, Georgia","Georgia","yes"
"Floyd County, Georgia","Georgia","yes"
"Forsyth County, Georgia","Georgia","yes"
"Franklin County, Georgia","Georgia","no"
"Fulton County, Georgia","Georgia","yes"
"Gilmer County, Georgia","Georgia","no"
"Glascock County, Georgia","Georgia","no"
"Glynn County, Georgia","Georgia","yes"
"Gordon County, Georgia","Georgia","no"
"Grady County, Georgia","Georgia","no"
"Greene County, Georgia","Georgia","no"
"Gwinnett County, Georgia","Georgia","yes"
"Habersham County, Georgia","Georgia","no"
"Hall County, Georgia","Georgia","yes"
"Hancock County, Georgia","Georgia","no"
"Haralson County, Georgia","Georgia","yes"
"Harris County, Georgia","Georgia","yes"
"Hart County, Georgia","Georgia","no"
"Heard County, Georgia","Georgia","yes"
"Henry County, Georgia","Georgia","yes"
"Houston County, Georgia","Georgia","yes"
"Irwin County, Georgia","Georgia","no"
"Jackson County, Georgia","Georgia","no"
"Jasper County, Georgia","Georgia","yes"
"Jeff Davis County, Georgia","Georgia","no"
