"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Albany County, New York",2,0.644,209471,368,"New York","yes",-0.314034302178441,"Biden",0.0597,9e-04,0.0656,0.115,4e-04,0.7217
"Allegany County, New York",3,0.362,17841,91,"New York","no",0.389134828216726,"Trump",0.0163,0.0023,0.0117,0.0142,3e-04,0.944
"Bronx County, New York",2,0.532,886472,6664,"New York","yes",-0.675649201930869,"Biden",0.5603,0.0023,0.0359,0.2923,3e-04,0.0914
"Broome County, New York",3,0.552,111756,379,"New York","yes",-0.0345927538418432,"Biden",0.0421,0.0015,0.0433,0.0515,2e-04,0.8338
"Cattaraugus County, New York",3,0.468,38979,96,"New York","no",0.294906012340365,"Trump",0.021,0.0311,0.0079,0.0141,0,0.9058
"Cayuga County, New York",3,0.511,41703,100,"New York","no",0.0923368386370501,"Trump",0.0295,0.0011,0.0056,0.041,1e-04,0.9009
"Chautauqua County, New York",3,0.494,68788,153,"New York","no",0.198401456900041,"Trump",0.0748,0.0029,0.0056,0.0235,5e-04,0.8744
"Chemung County, New York",3,0.5,45157,142,"New York","yes",0.134128393808678,"Trump",0.0308,0.0028,0.0134,0.059,1e-04,0.8623
"Chenango County, New York",3,0.526,26582,85,"New York","no",0.233013194506777,"Trump",0.0219,0.003,0.0043,0.0088,0,0.9474
"Clinton County, New York",3,0.63,53368,33,"New York","no",-0.0522053221209471,"Biden",0.0291,0.0027,0.0141,0.0407,2e-04,0.8993
"Columbia County, New York",2,0.64,41410,107,"New York","no",-0.166713585946737,"Biden",0.0477,6e-04,0.0174,0.0431,0,0.8635
"Cortland County, New York",3,0.512,26026,69,"New York","no",0.0193744810406864,"Trump",0.027,0.0022,0.0076,0.019,0,0.9262
"Delaware County, New York",3,0.497,23730,40,"New York","no",0.184321389793702,"Trump",0.0388,8e-04,0.0078,0.0153,0,0.9209
"Dutchess County, New York",3,0.589,190998,480,"New York","yes",-0.0964187874697264,"Biden",0.1219,0.0015,0.0352,0.098,4e-04,0.7147
"Erie County, New York",2,0.592,583475,1871,"New York","yes",-0.147238706103957,"Biden",0.055,0.0045,0.0355,0.1301,3e-04,0.7549
"Essex County, New York",2,0.627,24469,29,"New York","no",-0.0504179863959707,"Biden",0.0301,0.0025,0.0027,0.029,2e-04,0.9196
"Franklin County, New York",3,0.547,29230,15,"New York","no",0.021538301847623,"Trump",0.0354,0.0715,0.0054,0.0562,0.0022,0.8162
"Fulton County, New York",3,0.461,26317,97,"New York","no",0.313637129380054,"Trump",0.031,0.0029,0.0078,0.0198,1e-04,0.9269
