"County","per_point_diff","T or B"
"Appling County, Georgia",0.570441001191895,"Trump"
"Atkinson County, Georgia",0.467511885895404,"Trump"
"Bacon County, Georgia",0.726805228197986,"Trump"
"Baker County, Georgia",0.157556270096463,"Trump"
"Baldwin County, Georgia",-0.0129855898306942,"Biden"
"Banks County, Georgia",0.779797750255653,"Trump"
"Barrow County, Georgia",0.431185886448142,"Trump"
"Bartow County, Georgia",0.506915821179455,"Trump"
"Ben Hill County, Georgia",0.261730652041438,"Trump"
"Berrien County, Georgia",0.665116879762366,"Trump"
"Bibb County, Georgia",-0.238269649574342,"Biden"
"Bleckley County, Georgia",0.528556412053259,"Trump"
"Brantley County, Georgia",0.812104787714544,"Trump"
"Brooks County, Georgia",0.207013096746937,"Trump"
"Bryan County, Georgia",0.35162877900164,"Trump"
"Bulloch County, Georgia",0.237254901960784,"Trump"
"Burke County, Georgia",0.0179724796405504,"Trump"
"Butts County, Georgia",0.435986747090307,"Trump"
"Calhoun County, Georgia",-0.154686078252957,"Biden"
"Camden County, Georgia",0.307438993498269,"Trump"
"Candler County, Georgia",0.42067253441661,"Trump"
"Carroll County, Georgia",0.3899250991335,"Trump"
"Catoosa County, Georgia",0.559475961095941,"Trump"
"Charlton County, Georgia",0.506567425569177,"Trump"
"Chatham County, Georgia",-0.187507495802351,"Biden"
"Chattahoochee County, Georgia",0.134639696586599,"Trump"
"Chattooga County, Georgia",0.617910447761194,"Trump"
"Cherokee County, Georgia",0.392265994544764,"Trump"
"Clarke County, Georgia",-0.420772796322985,"Biden"
"Clay County, Georgia",-0.107317073170732,"Biden"
"Clayton County, Georgia",-0.709115997507344,"Biden"
"Clinch County, Georgia",0.475707794477455,"Trump"
"Cobb County, Georgia",-0.14327403689857,"Biden"
"Coffee County, Georgia",0.398777441829894,"Trump"
"Colquitt County, Georgia",0.471652368519209,"Trump"
"Columbia County, Georgia",0.257908780639156,"Trump"
"Cook County, Georgia",0.403837953091684,"Trump"
