"metro","per_point_diff","T.or.B","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household","label"
"yes",-0.314034302178441,"Biden",13.497058286,3.3093060336,4.0898136175,16.586175241,19.7,348.21844179,4.8531129843,31.097647644,3.6489164401,55,4.1684259328,16,79.946936949,69408,0.418,0.921,0.835,2.29,"High"
"no",0.389134828216726,"Trump",17.505069165,4.4226989715,4.6721960597,22.315666353,27.8,195.02941427,4.1666122639,22.661410612,5.4575381925,49,5.7091775924,26.8,77.910085673,49411,0.209,0.908,0.751,2.33,"Medium"
"yes",-0.675649201930869,"Biden",29.319008629,4.7618415688,4.4621298085,18.156678722,29.9,586.05761611,6.7604473664,50.193234802,5.3599184844,40,8.693358803,36.5,80.885557114,41470,0.201,0.728,0.757,2.76,"High"
"yes",-0.0345927538418432,"Biden",16.958985718,4.0995572496,4.6950637256,22.057009779,22.7,314.95458616,5.0194821088,26.66845278,4.7409040794,53,5.208532358,24.9,78.621136574,52179,0.284,0.907,0.818,2.33,"High"
"no",0.294906012340365,"Trump",19.624915864,4.6602979307,4.8485698033,23.808276191,28.5,197.20040087,4.5398591757,25.43366151,5.0525321686,47,6.4883465771,21.5,77.575538472,50783,0.191,0.888,0.717,2.34,"Medium"
"no",0.0923368386370501,"Trump",17.378352529,4.1681850353,4.5758325231,22.65664425,25.1,241.44125779,4.1190612479,24.657264677,4.286270583,56,4.7691604449,20.5,79.796522026,58055,0.226,0.878,0.797,2.34,"High"
"no",0.198401456900041,"Trump",17.939538653,4.2163068317,4.6993804223,23.680143445,27,271.38336813,4.9295737497,26.96977822,4.7186067828,53,5.5118432496,24.4,77.995285757,50143,0.222,0.888,0.762,2.31,"Medium"
"yes",0.134128393808678,"Trump",17.59972435,4.2691235821,4.5941192417,23.58428113,29.6,192.94740036,4.4708446631,24.045300361,4.2148547931,52,4.1218555273,20.3,76.489427692,58400,0.233,0.903,0.804,2.36,"High"
"no",0.233013194506777,"Trump",17.617715797,4.3143207905,4.7528690558,22.913565062,24.2,183.39412319,4.4825174825,21.354799514,4.4474637681,50,4.9291830039,20.1,77.374403391,51894,0.187,0.881,0.781,2.28,"High"
"no",-0.0522053221209471,"Biden",17.337230637,4.18196197,4.6107609834,21.875742361,27.5,157.25500595,4.3141124817,22.373419907,4.3578866178,51,5.0481638557,16.8,79.426273361,59069,0.229,0.876,0.798,2.33,"High"
"no",-0.166713585946737,"Biden",15.24541892,4.0167005863,4.1891300796,20.177388562,22.1,145.53647045,4.5053227472,22.855755221,3.2231166415,53,5.7819039986,15.4,79.889615747,71563,0.327,0.903,0.797,2.32,"High"
"no",0.0193744810406864,"Trump",16.850290083,4.1619116418,4.7392038847,21.52773221,25.3,89.542293116,4.1583897371,22.005906158,4.8921366998,53,4.3854840478,19.3,78.356780507,55143,0.28,0.907,0.738,2.5,"High"
"no",0.184321389793702,"Trump",17.569154396,4.3866548832,4.8178965406,22.883929757,26.3,193.05876087,4.7676149018,28.106898368,4.7130825966,47,5.8421516755,19.1,79.156491784,51038,0.226,0.889,0.76,2.25,"Medium"
"yes",-0.0964187874697264,"Biden",14.716894959,3.649747271,4.2839679345,15.67146022,20.3,203.66598778,4.8209464701,21.920525025,3.6094140517,53,5.1420120421,9.8,80.68547552,84564,0.35,0.911,0.881,2.54,"High"
"yes",-0.147238706103957,"Biden",16.652854089,4.0485574264,4.4749966908,18.774414029,23.7,427.52334492,5.0713060309,29.548994108,4.256375045,48,4.4202047826,19.3,78.679465462,60620,0.344,0.918,0.812,2.29,"High"
