date,text
2021-10-24 20:49:35,Namibia suspends use of Russian COVID vaccine after https://t.co/QTvuic1u9K flags HIV concerns… https://t.co/wUuxzbVPMF
2021-10-24 20:49:01,Vaxed up with my #Moderna booster shot. https://t.co/TQ0uui7dJo
2021-10-24 20:37:29,"I'm such a wimp. My plan was to ride the indoor cycle for 3 hours (or at least 2) during football. Instead, sat on… https://t.co/xc98rBiXBV"
2021-10-24 20:32:32,"If paracetamol had the same death rate as those vaccines, it would be taken off the shelf! #CovidVaccine #Pfizer… https://t.co/IR02OXWuIJ"
2021-10-24 20:31:42,"@KingGorilla @Ripple7355 @thecoastguy But of course, this ""vaccine"" only trains your body to recognize an artificia… https://t.co/rmBObiOmL1"
2021-10-24 20:28:50,#Moderna #Booster ACHIEVED. 👍
2021-10-24 20:25:44,@ahails Poss why mRNA vaccines had reputedly/apparently failed to be approved for 10yrs until received emergency ap… https://t.co/cAzkK7kOp6
2021-10-24 20:25:08,"Middletown Family Pharmacy is here for you! In stock: Moderna, Pfizer, J&amp;J vaccines AND booster doses. Schedule you… https://t.co/IoJp2gjR8E"
2021-10-24 20:19:14,It would seem that when receiving a booster vaccine we are given either Pfizer or Moderna! Part of the reluctance f… https://t.co/0WhI8MJAU9
2021-10-24 20:09:42,"https://t.co/wpZnHud9Ay #Moderna 
""number of individual cases over TIME"" https://t.co/IcWFRF0pPh"
2021-10-24 20:08:38,"Hello Everyone,
1/9) CDC Watching ‘Variant Of The Delta Variant’ Is ‘Very Cafefully’
https://t.co/YD7B0FFHuZ… https://t.co/bjeHFkz66k"
2021-10-24 20:07:58,@SandhuTaranjitS @PMOIndia @AmitShah @GovCanHealth @GovCanHealth @CPHO_Canada @CanBorder @USATODAY @IndianEmbassyUS… https://t.co/X15TcZ0Y3Z
2021-10-24 20:06:41,I ask because it’s available to me and I’m thinking of scheduling for this week but want to know if the half dose i… https://t.co/CZw4wvrcqG
2021-10-24 20:06:18,"@WHO @doctorsoumya  
Still how long wait for #COVAXIN  for saving people!!!!!!!!!!!!
#we want COVAXIN @mikalche… https://t.co/47MUiO8E4U"
